# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# MOND individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: stellar disk mass-to-light ratio (YD).
# 3rd column: stellar bulge mass-to-light ratio (YB).
# 4th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 5th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 6th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	YD                  	YB                 	Chi2              	Chi2eff           	N.Data
UGC00731   	1.1082097302362972  	--                 	149.4964118589815 	161.44393923575927	12    
UGC00891   	0.15518950493461844 	--                 	57.21889040425499 	83.03622947735136 	5     
UGC01281   	0.4103682608233728  	--                 	33.108301239305035	33.84440073009124 	25    
UGC02259   	1.0366986932250402  	--                 	43.905538761458146	53.934322304001284	8     
UGC02487   	0.9607316104855882  	0.9679104209204491 	118.11505562525497	130.47303194490956	17    
UGC02885   	0.4899910009496511  	1.0126178448666003 	13.264483910359894	18.4384671551812  	19    
UGC02916   	0.7164151098057763  	0.4982250506119317 	493.5730777003813 	496.6644208584984 	43    
UGC02953   	0.7204589442964309  	0.6705933450265025 	708.659236352579  	711.409243156508  	115   
UGC03205   	0.48206729686964506 	1.278717663685625  	197.1226060854996 	207.9471022728598 	48    
UGC03546   	0.5146372269303988  	0.4636330941864142 	29.004025139734303	30.273609088182805	30    
UGC03580   	0.3766260099784186  	0.10586259331700347	131.27771640626173	189.55455545092704	47    
UGC04278   	0.6629162741118236  	--                 	58.12343352575597 	59.62378111100742 	25    
UGC04325   	1.1343736510511406  	--                 	47.6297779596694  	60.28815470052294 	8     
UGC04483   	0.24911756777322838 	--                 	61.15502404746526 	70.30962125919903 	8     
UGC04499   	0.25955108458216014 	--                 	27.62104728030961 	35.729141584546184	9     
UGC05005   	0.3051340102807034  	--                 	12.790443335521651	17.39058410048309 	11    
UGC05253   	0.6004097167840342  	0.6745583812819278 	328.5071702175415 	329.39759913652614	73    
UGC05414   	0.2361680659679497  	--                 	5.66528648772878  	16.276516594433122	6     
UGC05716   	0.6248371836964833  	--                 	375.6033548483217 	376.5403180959548 	12    
UGC05721   	1.4384025993512048  	--                 	59.888310672592965	80.94819123163785 	23    
UGC05750   	0.29443367310532625 	--                 	17.099100127346606	22.388296420540698	11    
UGC05764   	3.3328769749529212  	--                 	117.42258990121775	185.29535330199263	10    
UGC05829   	0.3900543608915335  	--                 	27.743829900672402	28.906881425134173	11    
UGC05918   	0.4330981972643295  	--                 	8.563399807317104 	8.952571515522967 	8     
UGC05986   	0.8880688988295606  	--                 	82.39937197576043 	88.62323219014964 	15    
