# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# NFW individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: scale radius (r_s) [kpc].
# 3rd column: normalized scale radius (rsn = rs / rmax).
# 4th column: logarithm of the density rho_s (log rhos) [Msun / kpc^3].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rs                 	rsn                 	log rhos          	YD                 	YB                 	Chi2               	Chi2eff             	N.Data
UGC03546   	12.429838376071665 	0.4252425034578058  	7.1665131665485   	0.44696755522775405	0.42988828652216415	22.611872381340017 	24.945560689742447  	30    
UGC03580   	25.287037977833393 	0.934480339166053   	6.32134184795483  	0.4094272522479509 	0.162944726518089  	99.0747772081879   	131.8762438823478   	47    
UGC04278   	9998.335622545384  	1494.519525044153   	3.530082597917942 	0.39526356553046504	--                 	26.446355143878943 	27.48845353252272   	25    
UGC04325   	4.153481152008913  	0.7430198840803065  	7.553806126548526 	0.5650281151550866 	--                 	16.667317833875188 	16.94927940756327   	8     
UGC04483   	3.684120612036287  	3.044727778542386   	6.7201058469968755	0.49820292234629   	--                 	3.558318602385863  	3.5585631286800243  	8     
UGC04499   	14.012879099484497 	1.713065904582457   	6.409893292180247 	0.46931952644435065	--                 	7.153020667791173  	7.228653261009557   	9     
UGC05005   	104.70651985029806 	3.6597874816601914  	5.2031500234437065	0.49242530770288956	--                 	1.9525465610587593 	1.9569417728837215  	11    
UGC05253   	13.641006433119752 	0.2559768518130935  	7.304346280510213 	0.22818041137470735	0.6067991554567205 	167.02609202054916 	178.63556660375093  	73    
UGC05414   	9999.689572440444  	2433.014494511057   	3.3618688467709017	0.4601456827858679 	--                 	3.8291476863929392 	3.9592857425968218  	6     
UGC05716   	8.841719311804674  	0.7147711650610084  	6.719490235737329 	0.4616764141876292 	--                 	17.8105619401302   	17.93050167239703   	12    
